ID,DateTime,Operation Type,Critical Warning,Temperature,Available Spare,Available Spare Threshold,Percentage Used,Data Units Read,Data Units Written,Host Read Commands,Host Write Commands,Controller Busy Time,Power Cycles,Power On Hours,Unsafe Shutdowns,Media and Data Integrity Errors,Error Information Log Entries,Warning  Comp. Temperature Time,Critical Comp. Temperature Time
2211,2024-12-31 13:23:44,Before Write,0x00,55 Celsius,100%,5%,4%,378 [193 MB],"45,750,779 [23.4 TB]","33,514","90,952,890","6,528",1,137,1,0,9,0,0
2211,2024-12-31 13:28:29,After Write,0x00,56 Celsius,100%,5%,4%,378 [193 MB],"45,771,262 [23.4 TB]","33,519","90,993,374","6,532",1,137,1,0,9,0,0
2212,2024-12-31 13:28:34,Before Write,0x00,56 Celsius,100%,5%,4%,378 [193 MB],"45,771,262 [23.4 TB]","33,519","90,993,376","6,532",1,137,1,0,9,0,0
2212,2024-12-31 13:31:47,After Write,0x00,56 Celsius,100%,5%,4%,378 [193 MB],"45,791,745 [23.4 TB]","33,526","91,033,997","6,535",1,137,1,0,9,0,0
2213,2024-12-31 13:31:52,Before Write,0x00,56 Celsius,100%,5%,4%,378 [193 MB],"45,791,745 [23.4 TB]","33,526","91,034,003","6,535",1,137,1,0,9,0,0
2213,2024-12-31 13:35:34,After Write,0x00,56 Celsius,100%,5%,4%,379 [194 MB],"45,812,229 [23.4 TB]","33,530","91,074,508","6,538",1,137,1,0,9,0,0
2214,2024-12-31 13:35:40,Before Write,0x00,55 Celsius,100%,5%,4%,379 [194 MB],"45,812,229 [23.4 TB]","33,530","91,074,510","6,538",1,137,1,0,9,0,0
2214,2024-12-31 13:38:20,After Write,0x00,55 Celsius,100%,5%,4%,379 [194 MB],"45,832,711 [23.4 TB]","33,542","91,115,077","6,540",1,137,1,0,9,0,0
2215,2024-12-31 13:38:25,Before Write,0x00,55 Celsius,100%,5%,4%,379 [194 MB],"45,832,711 [23.4 TB]","33,542","91,115,086","6,540",1,137,1,0,9,0,0
2215,2024-12-31 13:41:48,After Write,0x00,55 Celsius,100%,5%,4%,379 [194 MB],"45,853,194 [23.4 TB]","33,558","91,155,652","6,543",1,138,1,0,9,0,0
2216,2024-12-31 13:41:53,Before Write,0x00,55 Celsius,100%,5%,4%,379 [194 MB],"45,853,194 [23.4 TB]","33,558","91,155,654","6,543",1,138,1,0,9,0,0
2216,2024-12-31 13:45:28,After Write,0x00,56 Celsius,100%,5%,4%,379 [194 MB],"45,873,677 [23.4 TB]","33,561","91,196,204","6,546",1,138,1,0,9,0,0
2217,2024-12-31 13:45:33,Before Write,0x00,55 Celsius,100%,5%,4%,379 [194 MB],"45,873,678 [23.4 TB]","33,561","91,196,211","6,546",1,138,1,0,9,0,0
2217,2024-12-31 13:48:54,After Write,0x00,56 Celsius,100%,5%,4%,379 [194 MB],"45,894,160 [23.4 TB]","33,584","91,236,935","6,549",1,138,1,0,9,0,0
2218,2024-12-31 13:48:59,Before Write,0x00,55 Celsius,100%,5%,4%,379 [194 MB],"45,894,161 [23.4 TB]","33,584","91,236,937","6,549",1,138,1,0,9,0,0
2218,2024-12-31 13:52:29,After Write,0x00,55 Celsius,100%,5%,4%,379 [194 MB],"45,914,643 [23.5 TB]","33,590","91,277,383","6,552",1,138,1,0,9,0,0
2219,2024-12-31 13:52:34,Before Write,0x00,55 Celsius,100%,5%,4%,379 [194 MB],"45,914,644 [23.5 TB]","33,590","91,277,390","6,552",1,138,1,0,9,0,0
2219,2024-12-31 13:55:31,After Write,0x00,56 Celsius,100%,5%,4%,379 [194 MB],"45,935,126 [23.5 TB]","33,602","91,318,142","6,555",1,138,1,0,9,0,0
2220,2024-12-31 13:55:36,Before Write,0x00,55 Celsius,100%,5%,4%,379 [194 MB],"45,935,126 [23.5 TB]","33,602","91,318,144","6,555",1,138,1,0,9,0,0
2220,2024-12-31 13:58:53,After Write,0x00,56 Celsius,100%,5%,4%,379 [194 MB],"45,955,609 [23.5 TB]","33,608","91,358,581","6,557",1,138,1,0,9,0,0
2221,2024-12-31 13:58:58,Before Write,0x00,55 Celsius,100%,5%,4%,379 [194 MB],"45,955,609 [23.5 TB]","33,608","91,358,583","6,557",1,138,1,0,9,0,0
2221,2024-12-31 14:01:55,After Write,0x00,56 Celsius,100%,5%,4%,379 [194 MB],"45,976,092 [23.5 TB]","33,610","91,399,299","6,560",1,138,1,0,9,0,0
2222,2024-12-31 14:02:00,Before Write,0x00,55 Celsius,100%,5%,4%,379 [194 MB],"45,976,092 [23.5 TB]","33,610","91,399,307","6,560",1,138,1,0,9,0,0
2222,2024-12-31 14:05:42,After Write,0x00,56 Celsius,100%,5%,4%,379 [194 MB],"45,996,575 [23.5 TB]","33,613","91,439,791","6,563",1,138,1,0,9,0,0
2223,2024-12-31 14:05:47,Before Write,0x00,55 Celsius,100%,5%,4%,379 [194 MB],"45,996,575 [23.5 TB]","33,613","91,439,793","6,563",1,138,1,0,9,0,0
